,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,yr_built,zipcode,lat,long,price,was_renovated_post90,has_basement,viewed,sale_month
13820,9393700065,2015-04-23,3,2,1300,5120,1.5,0.0,4,6,pre1950,98116,47.5589,-122.39399999999999,515000.0,0,0,0,4
1703,7978800621,2014-08-11,3,1,1370,56628,1.0,0.0,3,7,pre1950,98003,47.3058,-122.306,229000.0,0,0,0,8
4375,223039330,2015-04-07,3,3,3250,5093,2.0,0.0,3,10,1997_to_2015,98146,47.5123,-122.39,1050000.0,0,0,1,4
11872,5631501323,2014-08-05,3,2,1340,13560,1.0,0.0,3,7,1950_to_1975,98028,47.74100000000001,-122.234,309500.0,0,0,0,8
9625,1773101050,2015-02-20,3,1,960,4560,1.0,0.0,4,7,1950_to_1975,98106,47.5539,-122.365,290000.0,0,0,0,2
3189,5014000100,2014-09-24,4,2,1720,6413,1.0,0.0,4,7,pre1950,98116,47.5734,-122.395,537000.0,0,1,0,9
13995,6146600175,2014-11-07,2,1,760,5240,1.0,0.0,3,6,pre1950,98032,47.38800000000001,-122.234,129000.0,0,0,0,11
10117,5067400162,2015-02-18,3,2,1550,18958,1.5,0.0,3,7,1975_to_1997,98198,47.3699,-122.319,290000.0,0,0,0,2
1202,7683800192,2014-11-07,3,1,960,10125,1.0,0.0,4,7,1950_to_1975,98003,47.3335,-122.305,179950.0,0,0,0,11
3974,662310900,2015-02-20,3,2,2730,7372,2.0,0.0,3,9,1997_to_2015,98023,47.2831,-122.346,350000.0,0,0,0,2
31,2426039314,2014-12-01,2,2,1190,1265,3.0,0.0,3,7,1997_to_2015,98133,47.7274,-122.35700000000001,280000.0,0,0,0,12
697,2013200390,2014-09-22,4,2,1680,9966,1.0,0.0,3,7,1975_to_1997,98198,47.3923,-122.311,268000.0,0,1,0,9
10842,475000510,2014-11-18,3,1,1320,5000,1.0,0.0,4,7,pre1950,98107,47.6674,-122.365,594000.0,0,1,0,11
5787,7522500020,2014-05-27,3,2,1840,4750,1.0,0.0,5,7,1950_to_1975,98117,47.6862,-122.395,730001.0,0,1,0,5
631,582000135,2014-06-22,2,2,1330,6000,1.0,0.0,4,7,pre1950,98199,47.6539,-122.396,565000.0,0,1,0,6
3286,6121000110,2014-06-03,3,2,1180,9048,1.0,0.0,3,7,1950_to_1975,98148,47.4327,-122.32799999999999,193000.0,0,0,0,6
9962,1310980070,2015-02-24,3,2,1880,7488,2.0,0.0,3,8,1975_to_1997,98032,47.3631,-122.277,290000.0,0,0,0,2
20748,9536600810,2014-07-08,4,2,1984,32400,1.0,0.0,3,8,1950_to_1975,98198,47.36,-122.318,380000.0,0,1,0,7
12184,3574800810,2015-04-03,4,3,2260,7336,2.0,0.0,4,7,1975_to_1997,98034,47.7297,-122.219,486000.0,0,0,0,4
11541,4031700030,2015-04-10,3,2,2380,9719,2.0,0.0,3,8,1997_to_2015,98001,47.2932,-122.28299999999999,299999.0,0,0,0,4
12492,3276180210,2014-11-17,3,3,1400,7880,1.0,0.0,3,7,1975_to_1997,98056,47.5095,-122.193,311000.0,0,1,0,11
635,7199330390,2014-06-24,3,2,1070,8000,1.0,0.0,3,7,1975_to_1997,98052,47.6978,-122.13,415000.0,0,0,0,6
10747,1912100875,2015-04-23,2,2,1370,1248,2.0,0.0,3,7,1997_to_2015,98102,47.6399,-122.32,555000.0,0,1,0,4
16995,8944300010,2014-07-25,5,1,1410,9000,1.0,0.0,5,7,1950_to_1975,98023,47.3054,-122.369,230000.0,0,0,0,7
6252,5406500480,2014-07-21,4,2,2670,4410,2.0,0.0,3,8,1997_to_2015,98075,47.5978,-122.038,668000.0,0,0,0,7
6547,4024101478,2015-03-03,4,2,1910,7172,2.0,0.0,3,8,1975_to_1997,98155,47.7615,-122.309,498500.0,0,0,0,3
9530,6140100150,2014-11-25,4,2,2280,7200,1.0,0.0,4,7,1950_to_1975,98133,47.7132,-122.355,500000.0,0,0,0,11
2617,1723059050,2014-06-11,2,1,860,3874,1.0,0.0,4,6,pre1950,98055,47.4836,-122.204,290300.0,0,0,0,6
14915,4027700396,2014-08-28,4,2,2730,12000,1.0,0.0,4,8,1997_to_2015,98155,47.7733,-122.271,505000.0,0,1,0,8
11961,1237500105,2014-11-13,4,2,2850,11000,2.0,0.0,3,8,1997_to_2015,98052,47.6759,-122.161,760000.0,0,0,0,11
9448,7010701016,2015-02-09,1,1,1080,5000,1.5,0.0,3,7,pre1950,98199,47.6603,-122.39399999999999,411000.0,0,0,0,2
11726,3582900310,2015-03-04,3,2,1990,13000,2.0,0.0,3,9,1975_to_1997,98028,47.7439,-122.262,700000.0,0,0,1,3
7791,2426049125,2014-11-14,4,2,2500,10890,1.0,0.0,5,7,1975_to_1997,98034,47.7318,-122.23899999999999,488000.0,0,1,0,11
7121,1026069163,2015-04-22,3,2,2460,38794,2.0,0.0,3,9,1997_to_2015,98077,47.7602,-122.022,630000.0,0,0,0,4
11274,8598200070,2014-12-08,2,2,1420,2229,2.0,0.0,3,7,1997_to_2015,98059,47.4871,-122.165,278000.0,0,0,0,12
19537,643300040,2015-03-13,4,2,1920,9500,1.0,0.0,4,7,1950_to_1975,98006,47.5683,-122.177,719521.0,0,1,0,3
